date,symbol,score,fold,synthetic
2015-01-05,DEMO0001,0.5881857155303711,0,True
2015-01-05,DEMO0002,0.20000349001583767,0,True
2015-01-05,DEMO0003,0.7168582138957303,0,True
2015-01-05,DEMO0004,0.7717393207837199,0,True
2015-01-05,DEMO0005,0.011774665551839385,0,True
2015-01-05,DEMO0006,0.12431411367476725,0,True
2015-01-05,DEMO0007,0.5371257605944262,0,True
2015-01-05,DEMO0008,0.40892990020108266,0,True
2015-01-05,DEMO0009,0.4953712923838219,0,True
2015-01-05,DEMO0010,0.2539685309846359,0,True
2015-01-05,DEMO0011,0.7540819838963481,0,True
2015-01-05,DEMO0012,0.7247508143220618,0,True
2015-01-05,DEMO0013,0.5192828157599501,0,True
2015-01-05,DEMO0014,0.8256282414733651,0,True
2015-01-05,DEMO0015,0.6351798458330928,0,True
2015-01-05,DEMO0016,0.2521647322165738,0,True
2015-01-05,DEMO0017,0.6066706742058687,0,True
2015-01-05,DEMO0018,0.2234155039198193,0,True
2015-01-05,DEMO0019,0.7538084138023462,0,True
2015-01-05,DEMO0020,0.4858089891300062,0,True
2015-01-05,DEMO0021,0.44685614741102114,0,True
2015-01-05,DEMO0022,0.3036537287056585,0,True
2015-01-05,DEMO0023,0.8531390502707046,0,True
2015-01-05,DEMO0024,0.45561250574581974,0,True
2015-01-05,DEMO0025,0.3765736455834747,0,True
2015-01-05,DEMO0026,0.398569061560095,0,True
2015-01-05,DEMO0027,0.6538859700246036,0,True
2015-01-05,DEMO0028,0.6057161053895265,0,True
2015-01-05,DEMO0029,0.6193671482360829,0,True
2015-01-05,DEMO0030,0.6245888228411007,0,True
2015-01-05,DEMO0031,0.9899273359776318,0,True
2015-01-05,DEMO0032,0.38289933474248966,0,True
2015-01-05,DEMO0033,0.3523494717247613,0,True
2015-01-05,DEMO0034,0.265305162283579,0,True
2015-01-05,DEMO0035,0.6780395136927863,0,True
2015-01-05,DEMO0036,0.8261279634391816,0,True
2015-01-05,DEMO0037,0.46732754007236993,0,True
2015-01-05,DEMO0038,0.2576888216421513,0,True
2015-01-05,DEMO0039,0.2622138848079939,0,True
2015-01-05,DEMO0040,0.6880315426245096,0,True
2015-01-05,DEMO0041,0.7147806095501863,0,True
2015-01-05,DEMO0042,0.6570166792128952,0,True
2015-01-05,DEMO0043,0.3081050571872642,0,True
2015-01-05,DEMO0044,0.5672406495199712,0,True
2015-01-05,DEMO0045,0.5339057030983541,0,True
2015-01-05,DEMO0046,0.5633514041262819,0,True
2015-01-05,DEMO0047,0.751781472358092,0,True
2015-01-05,DEMO0048,0.5647679207363804,0,True
2015-01-05,DEMO0049,0.6962070552798498,0,True
2015-01-05,DEMO0050,0.519729792729309,0,True
2015-01-06,DEMO0001,0.5836830478659687,1,True
2015-01-06,DEMO0002,0.6824587894266855,1,True
2015-01-06,DEMO0003,0.07957625614452052,1,True
2015-01-06,DEMO0004,0.4079401406069366,1,True
2015-01-06,DEMO0005,0.3644363345752959,1,True
2015-01-06,DEMO0006,0.31579302119107766,1,True
2015-01-06,DEMO0007,0.4207945598372379,1,True
2015-01-06,DEMO0008,0.9317742360501715,1,True
2015-01-06,DEMO0009,0.25027718364735274,1,True
2015-01-06,DEMO0010,0.7797395678763293,1,True
2015-01-06,DEMO0011,0.014418178620328403,1,True
2015-01-06,DEMO0012,0.40354828604893334,1,True
2015-01-06,DEMO0013,0.5472041891336213,1,True
2015-01-06,DEMO0014,0.6694493718728372,1,True
2015-01-06,DEMO0015,0.7055350300555618,1,True
